Gene,Phecode,RareGPS,Indication,Max phase,Indicated mechanism,Indicated drugs,Druggable gene,DrugnomeAI,Predicted mechanism,Activators,Inhibitors,Other drugs
GAA,GE_964.3 [Glycogen storage disease],0.21,1,4.0,Other or unknown,duvoglustat (II),1,0.706,Activation,,"celgosivir, miglitol, voglibose",duvoglustat
PTPRO,GU_580.52 [Diffuse membranous glomerulonephritis],0.21,0,0.0,,,0,0.008,Activation,,,
PTGS2,SO_365.3 [Exophthalmos [Proptosis]],0.21,1,4.0,Inhibition,"celecoxib (II), diclofenac (IV)",1,0.999,,,"aceclofenac, acemetacin, acetaminophen, aloxiprin, apazone, apricoxib, aspirin, balsalazide, benzydamine, bismuth subsalicylate, bromfenac, carprofen, celecoxib, cimicoxib, clometacin, dexibuprofen, dexketoprofen, diclofenac, diclofenac etalhyaluronate, diflunisal, dipyrone, esflurbiprofen, etodolac, etoricoxib, fenclofenac, fenoprofen, flurbiprofen, glafenine, gw-406381, ibufenac, ibuprofen, ibuprofen lysine, iguratimod, indomethacin, indoprofen, isoxicam, ketoprofen, ketorolac, ketorolac tromethamine, lornoxicam, loxoprofen, lumiracoxib, meclofenamate, meclofenamic acid, mefenamic acid, meloxicam, mesalamine, metamizole, nabumetone, naproxcinod, naproxen, naproxen etemesil, nepafenac, olsalazine, oxaprozin, oxyphenbutazone, oxyphenbutazone anhydrous, parecoxib, phenylbutazone, piroxicam, pirprofen, polmacoxib, rofecoxib, sulfasalazine, sulindac, suprofen, tolmetin, valdecoxib",
NEFH,NS_323.3 [Motor neuron disease],0.21,0,0.0,,,0,0.042,Activation,,,
FOXRED1,GE_963.1 [Lipid storage disorders],0.21,0,0.0,,,0,0.005,,,,
ETS1,GI_542.8 [Biliary cirrhosis],0.21,0,0.0,,,0,0.017,,,,
COX7A1,CV_414.1 [Hypertrophic cardiomyopathy],0.21,0,0.0,,,0,0.027,Activation,,,
NMNAT1,SO_386.6 [Night blindness],0.21,0,0.0,,,0,0.005,Activation,,,
PPARGC1A,CV_414.1 [Hypertrophic cardiomyopathy],0.209,0,0.0,,,0,0.196,Activation,,,
LMNA,CV_414.1 [Hypertrophic cardiomyopathy],0.209,0,0.0,,,1,0.018,Activation,,,
TRIM32,GE_972.9 [Muscular dystrophy],0.208,0,0.0,,,0,0.001,Activation,,,
MYO1E,GU_580.52 [Diffuse membranous glomerulonephritis],0.208,0,0.0,,,0,0.001,Activation,,,
DNM2,GE_972.1 [Hereditary neuropathy],0.208,0,0.0,,,1,0.003,Activation,,,
CERKL,SO_386.5 [Color vision deficiencies],0.206,0,0.0,,,0,0.001,Activation,,,
ITPR1,GE_972.2 [Hereditary ataxia],0.206,0,0.0,,,0,0.63,Activation,,,
ALOX12B,GE_977.1 [Congenital ichthyosis],0.206,0,0.0,,,0,0.009,Activation,,,
PRKCA,CV_414.1 [Hypertrophic cardiomyopathy],0.206,0,0.0,,,1,0.987,Activation,,"aprinocarsen, cep-2563, gsk-690693, midostaurin, sotrastaurin, tamoxifen, ucn-01",
GATA4,CM_763.31 [Ventricular septal defect],0.206,0,0.0,,,0,0.032,Activation,,,
KCNJ10,GE_972.2 [Hereditary ataxia],0.206,0,0.0,,,0,0.941,Activation,,,
MTOR,CV_414.1 [Hypertrophic cardiomyopathy],0.206,1,3.0,Inhibition,perhexiline (III),1,0.937,,indoximod,"apitolisib, azd-8055, bgt-226, cc-115, dactolisib, ds-3078a, ds-7423, gedatolisib, omipalisib, onatasertib, osi-027, palomid-529, panulisib, perhexiline, pf-04691502, pki-179, pwt-33579, pwt-33587, rg-7603, ridaforolimus, samotolisib, sapanisertib, sf-1126, vistusertib, voxtalisib, vs-5584",pimecrolimus
AHI1,SO_380.3 [Optic atrophy],0.205,0,0.0,,,0,0.002,,,,
INPP5E,GE_972.2 [Hereditary ataxia],0.204,0,0.0,,,0,0.033,,,,
EMD,GE_972.9 [Muscular dystrophy],0.204,0,0.0,,,0,0.002,Activation,,,
NDUFAF6,GE_972.2 [Hereditary ataxia],0.204,0,0.0,,,0,0.83,,,,
MYBPC3,CV_414.1 [Hypertrophic cardiomyopathy],0.204,1,0.5,Other or unknown,unknown,1,0.01,Activation,,,
COX20,CV_414.1 [Hypertrophic cardiomyopathy],0.203,0,0.0,,,0,0.001,,,,
BOLA3,NS_341.1 [Cerebral palsy],0.203,0,0.0,,,0,0.0,,,,
RCVRN,SO_369.62 [Keratoconus],0.203,0,0.0,,,0,0.006,,,,
CACNA1H,GE_972.2 [Hereditary ataxia],0.202,1,4.0,Other or unknown,gabapentin (IV),1,0.996,,,"abt-639, apinocaltamide, bepridil, enflurane, ethosuximide, isradipine, methsuximide, mibefradil, paramethadione, phensuximide, phloroglucinol, suloctidil, terodiline, trimethadione","atagabalin, gabapentin, gabapentin enacarbil, imagabalin, pregabalin, suvecaltamide"
DES,GE_972.9 [Muscular dystrophy],0.202,1,0.5,Other or unknown,unknown,1,0.002,Activation,,,
SLC6A4,MB_305.1 [Tics and tic disorders],0.202,1,4.0,Inhibition,"(s)-fluoxetine (IV), fluoxetine (IV), r-fluoxetine (IV)",1,0.998,Activation,,"amitifadine, amitriptyline, amoxapine, bicifadine, centanafadine, citalopram, clomipramine, dapoxetine, dasotraline, desvenlafaxine, dothiepin, duloxetine, escitalopram, escitalopram oxalate, faxeladol, fluoxetine, fluvoxamine, gsk163090, imipramine, indalpine, levomilnacipran, liafensine, lumateperone, mazindol, methamphetamine, milnacipran, nefazodone, nomifensine, nortriptyline, ns-2359, paroxetine, paroxetine hemihydrate, protriptyline, sertraline, sibutramine, tedatioxetine, tesofensine, trazodone, venlafaxine, vilazodone, vortioxetine",chlorphentermine
POMGNT1,GE_972.9 [Muscular dystrophy],0.201,0,0.0,,,0,0.0,Activation,,,
SOST,MS_727.3 [Osteitis deformans [Paget's disease of bone]],0.201,1,4.0,Inhibition,romosozumab (IV),1,0.269,Activation,,"amg-167, anti-sclerostin, blosozumab, romosozumab, setrusumab",
BLK,BI_179.1 [Hypogammaglobulinemia NOS],0.201,0,0.0,,,1,0.934,,,"dasatinib, enmd-981693, ilorasertib, tg100-801, xl-228",
NDUFB3,GE_963.1 [Lipid storage disorders],0.2,0,0.0,,,1,0.999,,,"me-344, metformin, nv-128",
C20orf144,CM_763.31 [Ventricular septal defect],0.2,0,0.0,,,0,0.001,,,,
NDUFAF6,CV_414.1 [Hypertrophic cardiomyopathy],0.2,0,0.0,,,0,0.83,,,,
MKKS,SO_369.62 [Keratoconus],0.2,0,0.0,,,0,0.016,,,,
RDH12,SO_386.5 [Color vision deficiencies],0.199,0,0.0,,,0,0.002,,,,
PEX5,CM_763.31 [Ventricular septal defect],0.198,0,0.0,,,0,0.001,,,,
CASR,EM_208.1 [Hypoparathyroidism],0.198,1,0.5,Other or unknown,unknown,1,0.998,Activation,"asp7991, cinacalcet, etelcalcetide, evocalcet, velcalcetide",ronacaleret,tecalcet
SYNE1,GE_972.9 [Muscular dystrophy],0.198,0,0.0,,,0,0.001,Activation,,,
TMEM126B,GE_963.1 [Lipid storage disorders],0.197,0,0.0,,,0,0.535,,,,
NDUFB6,GE_972.2 [Hereditary ataxia],0.197,1,4.0,Inhibition,metformin (IV),1,1.0,,,"me-344, metformin, nv-128",
SCN4A,NS_323.3 [Motor neuron disease],0.197,1,4.0,Inhibition,"lacosamide (I), mexiletine (IV), quinidine (III), ranolazine (II)
 riluzole (IV)",1,0.998,Activation,,"articaine, benoxinate, bupivacaine, carbamazepine, cenobamate, chloroprocaine, cocaine, dichlorobenzyl, disopyramide, dronedarone, dyclonine, encainide, eslicarbazepine, ethotoin, etidocaine, evenamide, fosphenytoin, hexylcaine, indecainide, irampanel, lacosamide, lamotrigine, levobupivacaine, lidocaine, mephenytoin, mepivacaine, merethoxylline procaine, mexiletine, moricizine, nerispirdine, nktr-171, orphenadrine, oxcarbazepine, phenacemide, phenazopyridine, phenytoin, prilocaine, primidone, procainamide, procaine, propafenone, proparacaine, propoxycaine, quinidine, quinidine gluconate, quinidine polygalacturonate, ralfinamide, ranolazine, riluzole, ropivacaine, rufinamide, tetracaine, tocainide, topiramate, zonisamide",
SYT2,NS_338.1 [Myasthenia gravis],0.197,0,0.0,,,0,0.041,Activation,,,
NPR2,CM_770.5 [Congenital osteodystrophies],0.197,1,4.0,Other or unknown,vosoritide (IV),1,0.965,Activation,carperitide,,vosoritide
ABCA12,GE_977.1 [Congenital ichthyosis],0.197,0,0.0,,,0,0.002,Activation,,,
SETX,NS_323.3 [Motor neuron disease],0.197,0,0.0,,,0,0.001,Activation,,,
NLRP3,DE_663.1 [Pemphigus],0.197,1,1.0,Other or unknown,unknown,1,0.558,Activation,,dapansutrile,
NDUFA8,NS_341.1 [Cerebral palsy],0.196,1,2.0,Inhibition,metformin (II),1,0.998,,,"me-344, metformin, nv-128",
COL1A1,GE_978.3 [Osteochondrodysplasias],0.194,0,0.0,,,1,0.084,Activation,,,"collagenase clostridium histolyticum, ocriplasmin"
SNX10,CM_770.5 [Congenital osteodystrophies],0.194,0,0.0,,,0,0.001,Activation,,,
GLA,CV_414.1 [Hypertrophic cardiomyopathy],0.194,0,0.0,,,1,0.98,Activation,,,migalastat
MKKS,SO_386.6 [Night blindness],0.194,0,0.0,,,0,0.016,,,,
NDUFA12,CV_414.1 [Hypertrophic cardiomyopathy],0.194,0,0.0,,,1,0.999,,,"me-344, metformin, nv-128",
SPTBN2,GE_972.2 [Hereditary ataxia],0.194,0,0.0,,,0,0.007,Activation,,,
SFRP4,CM_770.5 [Congenital osteodystrophies],0.193,0,0.0,,,0,0.001,Activation,,,
ERBB2,GE_964.3 [Glycogen storage disease],0.193,0,0.0,,,1,0.999,Activation,,"ac-480, aee-788, afatinib, allitinib, bms-690514, canertinib, cp-724714, cudc-101, dacomitinib, dacomitinib anhydrous, hemay-022, jnj-26483327, kbp5209, kn-026, lapatinib, margetuximab, masoprocol, mm-111, mp-412, mubritinib, neratinib, pertuzumab, poziotinib, pyrotinib, s-222611, sapitinib, tak-285, tarloxotinib, tesevatinib, trastuzumab, trastuzumab emtansine, tucatinib, tuxobertinib, vandetanib, varlitinib, zanidatamab, zenocutuzumab","anvatabart opadotin, ertumaxomab, gancotamab, mdx-210, t-dm1, trastuzumab deruxtecan, trastuzumab duocarmazine"
CRB1,SO_380.3 [Optic atrophy],0.192,0,0.0,,,0,0.001,,,,
PTGS2,GU_580.1 [Acute nephritic syndrome],0.192,1,3.0,Inhibition,acetaminophen (III),1,0.999,Activation,,"aceclofenac, acemetacin, acetaminophen, aloxiprin, apazone, apricoxib, aspirin, balsalazide, benzydamine, bismuth subsalicylate, bromfenac, carprofen, celecoxib, cimicoxib, clometacin, dexibuprofen, dexketoprofen, diclofenac, diclofenac etalhyaluronate, diflunisal, dipyrone, esflurbiprofen, etodolac, etoricoxib, fenclofenac, fenoprofen, flurbiprofen, glafenine, gw-406381, ibufenac, ibuprofen, ibuprofen lysine, iguratimod, indomethacin, indoprofen, isoxicam, ketoprofen, ketorolac, ketorolac tromethamine, lornoxicam, loxoprofen, lumiracoxib, meclofenamate, meclofenamic acid, mefenamic acid, meloxicam, mesalamine, metamizole, nabumetone, naproxcinod, naproxen, naproxen etemesil, nepafenac, olsalazine, oxaprozin, oxyphenbutazone, oxyphenbutazone anhydrous, parecoxib, phenylbutazone, piroxicam, pirprofen, polmacoxib, rofecoxib, sulfasalazine, sulindac, suprofen, tolmetin, valdecoxib",
CNGA1,SO_380.3 [Optic atrophy],0.191,0,0.0,,,0,0.976,Activation,,,
FSCN2,SO_369.62 [Keratoconus],0.191,0,0.0,,,0,0.001,,,,
TNFSF11,MS_727.3 [Osteitis deformans [Paget's disease of bone]],0.191,1,4.0,Inhibition,denosumab (IV),1,0.998,Activation,,"denosumab, lenalidomide",
ARMC5,EM_211.1 [Adrenal hyperfunction],0.191,0,0.0,,,0,0.017,Activation,,,
TNNT2,CV_414.1 [Hypertrophic cardiomyopathy],0.191,0,0.0,,,1,0.023,Activation,levosimendan,,
PCDH15,SO_386.6 [Night blindness],0.191,0,0.0,,,0,0.007,,,,
ACTC1,CV_414.1 [Hypertrophic cardiomyopathy],0.189,0,0.0,,,0,0.005,Activation,,,
COX14,CV_414.1 [Hypertrophic cardiomyopathy],0.189,0,0.0,,,0,0.005,,,,
PLS3,CM_770.5 [Congenital osteodystrophies],0.188,0,0.0,,,0,0.001,Activation,,,
COL4A4,GU_580.52 [Diffuse membranous glomerulonephritis],0.188,0,0.0,,,1,0.001,Activation,,trc-093,"collagenase clostridium histolyticum, ocriplasmin"
PTGS2,MS_704.1 [Polyarteritis nodosa and related conditions],0.188,1,4.0,Inhibition,aspirin (IV),1,0.999,,,"aceclofenac, acemetacin, acetaminophen, aloxiprin, apazone, apricoxib, aspirin, balsalazide, benzydamine, bismuth subsalicylate, bromfenac, carprofen, celecoxib, cimicoxib, clometacin, dexibuprofen, dexketoprofen, diclofenac, diclofenac etalhyaluronate, diflunisal, dipyrone, esflurbiprofen, etodolac, etoricoxib, fenclofenac, fenoprofen, flurbiprofen, glafenine, gw-406381, ibufenac, ibuprofen, ibuprofen lysine, iguratimod, indomethacin, indoprofen, isoxicam, ketoprofen, ketorolac, ketorolac tromethamine, lornoxicam, loxoprofen, lumiracoxib, meclofenamate, meclofenamic acid, mefenamic acid, meloxicam, mesalamine, metamizole, nabumetone, naproxcinod, naproxen, naproxen etemesil, nepafenac, olsalazine, oxaprozin, oxyphenbutazone, oxyphenbutazone anhydrous, parecoxib, phenylbutazone, piroxicam, pirprofen, polmacoxib, rofecoxib, sulfasalazine, sulindac, suprofen, tolmetin, valdecoxib",
CACNB2,GE_972.2 [Hereditary ataxia],0.187,1,4.0,Other or unknown,gabapentin (IV),1,0.996,,,"bepridil, enflurane, isradipine, phenytoin, phloroglucinol, suloctidil, terodiline, topiramate","atagabalin, gabapentin, gabapentin enacarbil, imagabalin, pregabalin"
CLRN1,SO_369.62 [Keratoconus],0.187,0,0.0,,,1,0.0,,,,
POLG,NS_341.1 [Cerebral palsy],0.187,0,0.0,,,0,0.004,,,,
NDUFAF7,GE_963.1 [Lipid storage disorders],0.186,0,0.0,,,0,0.465,,,,
PABPN1,GE_972.9 [Muscular dystrophy],0.186,1,0.5,Other or unknown,unknown,1,0.001,Activation,,,
NR3C1,GU_580.1 [Acute nephritic syndrome],0.186,1,4.0,Activation,"deflazacort (I), methylprednisolone (III), prednisolone (III)
 prednisone (IV)",1,0.998,,"alclometasone, amcinonide, beclomethasone, betamethasone, betamethasone phosphoric acid, budesonide, ciclesonide, clobetasol, clocortolone pivalate, cortisone, cortivazol, deflazacort, desonide, desoximetasone, dexamethasone, dexamethasone phosphoric acid, diflorasone, difluprednate, flumethasone pivalate, flunisolide, fluocinolone, fluocinonide, fluorometholone, fluprednisolone, flurandrenolide, fluticasone, fluticasone furoate, halcinonide, halobetasol, hydrocortamate, hydrocortisone, hydrocortisone anhydrous, hydrocortisone butyrate, hydrocortisone cypionate, hydrocortisone phosphoric acid, hydrocortisone probutate, loteprednol etabonate, mapracorat, medrysone, meprednisone, methylprednisolone, mometasone furoate, paramethasone, prednicarbate, prednisolone, prednisolone phosphoric acid, prednisolone tebutate, prednisone, rimexolone, triamcinolone, vamorolone","cort 108297, cyproterone, mifepristone, org-34517, relacorilant","abbv-3373, azd-5423, dagrocorat, fosdagrocorat, velsecorat"
LRP5,MS_727.3 [Osteitis deformans [Paget's disease of bone]],0.186,0,0.0,,,1,0.11,Activation,,,
GJA8,CM_751.213 [Congenital cataract],0.185,0,0.0,,,0,0.736,Activation,,,
VLDLR,GE_972.2 [Hereditary ataxia],0.185,0,0.0,,,0,0.081,Activation,,,
PPARG,GE_964.3 [Glycogen storage disease],0.185,0,0.0,,,1,0.998,Activation,"aleglitazar, ave0847, balaglitazone, balsalazide, bezafibrate, chiglitazar, clx-0921, db959, efatutazone, etalocib, farglitazar, imiglitazar, indeglitazar, lanifibranor, leriglitazone, mesalamine, mk-0767, muraglitazar, naveglitazar, olsalazine, oms405, pioglitazone, rivoglitazone, rosiglitazone, saroglitazar, sodelglitazar, tesaglitazar, troglitazone","bardoxolone methyl, icosapent","arhalofenate, atx08-001, int131, mbx-2044, mk-0533, netoglitazone"
AGTR1,GU_580.52 [Diffuse membranous glomerulonephritis],0.185,1,3.0,Inhibition,"irbesartan (III), losartan (II), sparsentan (III)",1,0.996,Activation,angiotensin ii,"azilsartan, azilsartan kamedoxomil, azilsartan medoxomil, candesartan, candesartan cilexetil, eprosartan, fimasartan, irbesartan, losartan, olmesartan, olmesartan medoxomil, pratosartan, saralasin, sparsentan, tasosartan, telmisartan, trv-120027, valsartan",
NDUFA11,NS_341.1 [Cerebral palsy],0.185,1,2.0,Inhibition,metformin (II),1,0.999,,,"me-344, metformin, nv-128",
KIF1A,GE_972.2 [Hereditary ataxia],0.184,0,0.0,,,0,0.004,Activation,,,
LMO2,BI_161.2 [Extrinsic (acquired) hemolytic anemias],0.184,0,0.0,,,0,0.002,,,,
CDH2,MB_305.1 [Tics and tic disorders],0.184,0,0.0,,,1,0.445,Activation,,,
GRID2,GE_972.2 [Hereditary ataxia],0.184,0,0.0,,,0,0.143,Activation,,,
DCTN1,NS_323.3 [Motor neuron disease],0.184,0,0.0,,,0,0.003,Activation,,,
CNGA3,SO_386.6 [Night blindness],0.183,0,0.0,,,1,0.381,,,,
CD14,GU_580.1 [Acute nephritic syndrome],0.183,0,0.0,,,1,0.586,,,"ic14, vb-201",
PDE6G,SO_369.62 [Keratoconus],0.183,0,0.0,,,1,0.998,,,"dipyridamole, pentoxifylline",
CACNA1E,GE_972.2 [Hereditary ataxia],0.183,1,4.0,Other or unknown,gabapentin (IV),1,1.0,,,"bepridil, enflurane, lamotrigine, phloroglucinol, suloctidil, terodiline","atagabalin, gabapentin, gabapentin enacarbil, imagabalin, pregabalin"
GRN,NS_328.13 [Frontotemporal dementia [FTD]],0.182,1,2.0,Other or unknown,unknown,1,0.01,Activation,,,
CLCN1,NS_339.2 [Myotonic disorders],0.182,0,0.0,,,1,0.883,Activation,,,
PITX1,GE_961.1 [Phakomatoses],0.182,0,0.0,,,0,0.0,Activation,,,
ZNF469,SO_369.62 [Keratoconus],0.182,0,0.0,,,0,0.0,Activation,,,
RCVRN,SO_380.3 [Optic atrophy],0.181,0,0.0,,,0,0.006,,,,
COL10A1,GE_978.3 [Osteochondrodysplasias],0.181,0,0.0,,,0,0.003,Activation,,,
PODXL,GU_580.52 [Diffuse membranous glomerulonephritis],0.181,0,0.0,,,0,0.001,Activation,,,
APP,NS_340.3 [Inflammatory and immune myopathies],0.18,0,0.0,,,1,0.902,Activation,,"crenezumab, lecanemab","aducanumab, amilomotide, bapineuzumab, donanemab, florbetaben f-18, gantenerumab, gsk933776, ponezumab, solanezumab, tramiprosate, valiltramiprosate, vanutide cridificar"
CDKN1A,BI_179.1 [Hypogammaglobulinemia NOS],0.18,0,0.0,,,1,0.869,,,,
PEX13,CM_763.31 [Ventricular septal defect],0.18,0,0.0,,,0,0.001,,,,
SACS,GE_972.2 [Hereditary ataxia],0.18,0,0.0,,,0,0.002,Activation,,,
FSCN2,SO_386.6 [Night blindness],0.18,0,0.0,,,0,0.001,Activation,,,
NDUFA8,GE_972.2 [Hereditary ataxia],0.18,1,4.0,Inhibition,metformin (IV),1,0.998,,,"me-344, metformin, nv-128",
CHM,GE_974.3 [Hereditary choroidal dystrophies],0.18,1,2.0,Other or unknown,unknown,1,0.002,Activation,,,
TRPM1,SO_386.6 [Night blindness],0.18,0,0.0,,,0,0.648,Activation,,,
NDUFS5,GE_972.2 [Hereditary ataxia],0.179,1,4.0,Inhibition,metformin (IV),1,1.0,,,"me-344, metformin, nv-128",
NDUFB7,GE_972.2 [Hereditary ataxia],0.179,1,4.0,Inhibition,metformin (IV),1,0.998,,,"me-344, metformin, nv-128",
C3,GU_580.51 [Focal and segmental glomerular lesions*],0.179,0,0.0,,,1,0.31,Activation,,"al-78898a, amy-101, pegcetacoplan",
PTPRC,GI_540.11 [Autoimmune hepatitis],0.179,0,0.0,,,1,0.226,Activation,,,"ahn-12, bc8 131i"
RHO,SO_386.6 [Night blindness],0.178,0,0.0,,,1,0.194,Activation,,,
NDUFA9,GE_972.2 [Hereditary ataxia],0.178,1,4.0,Inhibition,metformin (IV),1,0.997,,,"me-344, metformin, nv-128",
COL2A1,CM_770.5 [Congenital osteodystrophies],0.178,0,0.0,,,1,0.011,Activation,,,"collagenase clostridium histolyticum, ocriplasmin"
PPARGC1A,GE_973.5 [Huntington's disease],0.178,0,0.0,,,0,0.196,Activation,,,
F8,GE_971.14 [Von Willebrand's disease],0.178,1,4.0,Other or unknown,"antihemophilic factor, (III)
 coagulation factor viii/von willebrand factor complex (IV)",1,0.9,Activation,,"drotrecogin  (activated), tb-402","antihemophilic factor,, antihemophilic factor, pegylated (mw 20000) sequence, coagulation factor viii/von willebrand factor complex, damoctocog, efmoroctocog, giroctocogene fitelparvovec, lonoctocog, moroctocog, omfiloctocog, simoctocog, susoctocog, turoctocog"
MYO1E,GU_580.51 [Focal and segmental glomerular lesions*],0.178,0,0.0,,,0,0.001,Activation,,,
NDUFV1,CV_414.1 [Hypertrophic cardiomyopathy],0.178,0,0.0,,,1,0.997,,,"me-344, metformin, nv-128",
VSX2,SO_386.5 [Color vision deficiencies],0.178,0,0.0,,,0,0.0,Activation,,,
GCM2,EM_208.1 [Hypoparathyroidism],0.178,0,0.0,,,0,0.002,Activation,,,
CNTNAP2,MB_305.1 [Tics and tic disorders],0.177,0,0.0,,,0,0.008,Activation,,,
AHI1,SO_369.62 [Keratoconus],0.177,0,0.0,,,0,0.002,,,,
NDUFB4,GE_972.2 [Hereditary ataxia],0.177,1,4.0,Inhibition,metformin (IV),1,0.999,,,"me-344, metformin, nv-128",
SGCA,GE_972.9 [Muscular dystrophy],0.177,0,0.0,,,0,0.007,Activation,,,
RP1L1,SO_386.5 [Color vision deficiencies],0.177,0,0.0,,,0,0.003,Activation,,,
RYR1,NS_339.2 [Myotonic disorders],0.177,0,0.0,,,1,0.999,Activation,,dantrolene,
PLEKHM1,CM_770.5 [Congenital osteodystrophies],0.177,0,0.0,,,0,0.001,Activation,,,
CAV3,GE_972.9 [Muscular dystrophy],0.177,0,0.0,,,0,0.047,Activation,,,
P3H1,GE_978.3 [Osteochondrodysplasias],0.177,0,0.0,,,0,0.0,Activation,,,
TGM1,GE_977.1 [Congenital ichthyosis],0.176,0,0.0,,,1,0.006,Activation,,,
NR3C1,CM_772.1 [Congenital malformations of endocrine glands],0.176,1,4.0,Activation,"betamethasone (IV), hydrocortisone (IV)
 hydrocortisone cypionate (II)",1,0.998,Activation,"alclometasone, amcinonide, beclomethasone, betamethasone, betamethasone phosphoric acid, budesonide, ciclesonide, clobetasol, clocortolone pivalate, cortisone, cortivazol, deflazacort, desonide, desoximetasone, dexamethasone, dexamethasone phosphoric acid, diflorasone, difluprednate, flumethasone pivalate, flunisolide, fluocinolone, fluocinonide, fluorometholone, fluprednisolone, flurandrenolide, fluticasone, fluticasone furoate, halcinonide, halobetasol, hydrocortamate, hydrocortisone, hydrocortisone anhydrous, hydrocortisone butyrate, hydrocortisone cypionate, hydrocortisone phosphoric acid, hydrocortisone probutate, loteprednol etabonate, mapracorat, medrysone, meprednisone, methylprednisolone, mometasone furoate, paramethasone, prednicarbate, prednisolone, prednisolone phosphoric acid, prednisolone tebutate, prednisone, rimexolone, triamcinolone, vamorolone","cort 108297, cyproterone, mifepristone, org-34517, relacorilant","abbv-3373, azd-5423, dagrocorat, fosdagrocorat, velsecorat"
REN,EM_211.1 [Adrenal hyperfunction],0.176,0,0.0,,,1,0.998,Activation,,"aliskiren, imarikiren, sph-3127",
CNGA3,SO_386.5 [Color vision deficiencies],0.176,1,2.0,Other or unknown,unknown,1,0.381,Activation,,,
TP53,CV_414.1 [Hypertrophic cardiomyopathy],0.176,0,0.0,,,1,0.826,,,"apg115, cenersen, idasanutlin, navtemadlin, siremadlin","contusugene ladenovec, eprenetapopt, teprasiran"
FLVCR1,BI_162.1 [Constitutional (hereditary) aplastic anemia],0.175,0,0.0,,,0,0.001,Activation,,,
ARSA,GE_963.1 [Lipid storage disorders],0.175,1,4.0,Other or unknown,atidarsagene autotemcel (IV),1,0.008,Activation,,,atidarsagene autotemcel
