Gene,Phecode,RareGPS,Indication,Max phase,Gene expression,HGMD,Locus2gene,Mouse models,OTP clinical genetics,Text mining,Common variants,Rare variants,Rare variants (gene-level),Ultrarare variants (gene-level),Mantis-ML,Sources
GATA4,CM_763.31 [Ventricular septal defect],0.206,0,0.0,0.0,0.883,0.0,0.421,0.434,0.405,,2.505,2.305,0.081,0.914,5
KCNJ10,GE_972.2 [Hereditary ataxia],0.206,0,0.0,0.0,0.882,0.0,0.286,0.362,0.181,,2.724,0.093,0.147,0.921,5
MTOR,CV_414.1 [Hypertrophic cardiomyopathy],0.206,1,3.0,0.0,0.0,0.0,0.0,0.0,0.184,2.312,2.471,0.206,0.752,0.984,3
AHI1,SO_380.3 [Optic atrophy],0.205,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.378,3.525,0.588,0.67,0.978,2
INPP5E,GE_972.2 [Hereditary ataxia],0.204,0,0.0,0.0,0.745,0.0,0.0,0.0,0.0,1.913,1.076,0.355,1.053,0.984,3
EMD,GE_972.9 [Muscular dystrophy],0.204,0,0.0,0.0,0.896,0.0,0.351,0.487,0.172,,0.064,0.078,2.791,0.886,5
NDUFAF6,GE_972.2 [Hereditary ataxia],0.204,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.223,3.337,0.372,0.106,0.98,2
MYBPC3,CV_414.1 [Hypertrophic cardiomyopathy],0.204,1,0.5,0.0,0.9,0.0,0.696,0.928,0.933,2.067,12.056,15.827,33.77,0.973,5
COX20,CV_414.1 [Hypertrophic cardiomyopathy],0.203,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.698,0.518,0.283,0.174,0.997,2
BOLA3,NS_341.1 [Cerebral palsy],0.203,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.276,0.188,0.079,0.985,1
RCVRN,SO_369.62 [Keratoconus],0.203,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.638,2.687,0.32,0.121,0.991,2
CACNA1H,GE_972.2 [Hereditary ataxia],0.202,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.575,3.296,0.37,1.108,0.948,2
DES,GE_972.9 [Muscular dystrophy],0.202,1,0.5,0.0,0.865,0.0,0.449,0.724,0.068,,0.7,0.293,1.694,0.993,5
SLC6A4,MB_305.1 [Tics and tic disorders],0.202,1,4.0,0.0,0.0,0.0,0.459,0.0,0.311,1.639,2.216,0.087,0.09,,3
POMGNT1,GE_972.9 [Muscular dystrophy],0.201,0,0.0,0.0,0.887,0.0,0.276,0.69,0.111,,3.695,0.375,0.163,0.999,5
SOST,MS_727.3 [Osteitis deformans [Paget's disease of bone]],0.201,1,4.0,0.0,0.0,0.0,0.483,0.0,0.205,,2.947,0.15,0.118,,3
BLK,BI_179.1 [Hypogammaglobulinemia NOS],0.201,0,0.0,0.0,0.426,0.0,0.0,0.0,0.0,1.872,1.977,1.771,0.161,0.992,3
NDUFB3,GE_963.1 [Lipid storage disorders],0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.321,0.342,0.029,0.979,1
C20orf144,CM_763.31 [Ventricular septal defect],0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.737,0.004,0.033,1.0,2
NDUFAF6,CV_414.1 [Hypertrophic cardiomyopathy],0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.79,0.286,1.606,0.998,2
MKKS,SO_369.62 [Keratoconus],0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.011,2.197,0.197,0.205,0.99,2
RDH12,SO_386.5 [Color vision deficiencies],0.199,0,0.0,0.0,0.547,0.0,0.0,0.0,0.0,,0.105,0.242,0.09,1.0,2
PEX5,CM_763.31 [Ventricular septal defect],0.198,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.446,2.461,0.295,0.171,0.983,2
CASR,EM_208.1 [Hypoparathyroidism],0.198,1,0.5,0.0,0.889,0.0,0.652,0.837,0.194,,2.859,1.444,3.134,0.953,5
SYNE1,GE_972.9 [Muscular dystrophy],0.198,0,0.0,0.0,0.859,0.0,0.316,0.2,0.084,3.734,3.968,0.225,0.344,0.977,5
TMEM126B,GE_963.1 [Lipid storage disorders],0.197,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.25,0.298,0.06,0.977,2
NDUFB6,GE_972.2 [Hereditary ataxia],0.197,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.449,0.352,0.149,0.101,0.979,2
SCN4A,NS_323.3 [Motor neuron disease],0.197,1,4.0,0.0,0.0,0.0,0.455,0.0,0.015,,3.305,1.583,0.576,0.07,4
SYT2,NS_338.1 [Myasthenia gravis],0.197,0,0.0,0.0,0.0,0.0,0.49,0.771,0.118,1.889,3.412,1.858,0.126,,4
NPR2,CM_770.5 [Congenital osteodystrophies],0.197,1,4.0,0.0,0.0,0.0,0.349,0.92,0.082,,1.77,0.167,0.132,0.725,5
ABCA12,GE_977.1 [Congenital ichthyosis],0.197,0,0.0,0.0,0.887,0.0,0.385,0.717,0.112,1.556,1.797,0.293,0.212,0.999,5
SETX,NS_323.3 [Motor neuron disease],0.197,0,0.0,0.0,0.894,0.0,0.251,0.26,0.109,1.679,2.88,0.677,0.435,0.998,5
NLRP3,DE_663.1 [Pemphigus],0.197,1,1.0,0.0,0.0,0.0,0.457,0.0,0.162,1.569,0.202,0.091,0.101,,3
NDUFA8,NS_341.1 [Cerebral palsy],0.196,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,0.188,0.224,1.823,0.994,2
COL1A1,GE_978.3 [Osteochondrodysplasias],0.194,0,0.0,0.0,0.0,0.0,0.389,0.642,0.151,2.582,3.633,3.222,35.137,,4
SNX10,CM_770.5 [Congenital osteodystrophies],0.194,0,0.0,0.0,0.867,0.0,0.372,0.834,0.164,2.586,0.13,0.105,0.071,0.91,5
GLA,CV_414.1 [Hypertrophic cardiomyopathy],0.194,0,0.0,0.0,0.891,0.0,0.651,0.446,0.155,1.685,5.583,0.036,3.431,0.982,5
MKKS,SO_386.6 [Night blindness],0.194,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.011,2.077,0.189,0.152,0.996,2
NDUFA12,CV_414.1 [Hypertrophic cardiomyopathy],0.194,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71,2.543,0.274,0.167,0.972,2
SPTBN2,GE_972.2 [Hereditary ataxia],0.194,0,0.0,0.0,0.889,0.0,0.396,0.761,0.044,,3.229,0.515,1.175,0.99,5
SFRP4,CM_770.5 [Congenital osteodystrophies],0.193,0,0.0,0.0,0.836,0.0,0.435,0.732,0.093,1.86,0.245,0.193,0.129,0.811,5
ERBB2,GE_964.3 [Glycogen storage disease],0.193,0,0.0,0.0,0.0,0.0,0.383,0.0,0.103,,3.515,2.902,0.104,,3
CRB1,SO_380.3 [Optic atrophy],0.192,0,0.0,0.0,0.547,0.0,0.0,0.0,0.0,2.407,3.265,0.267,0.138,0.993,3
PTGS2,GU_580.1 [Acute nephritic syndrome],0.192,1,3.0,0.0,0.0,0.0,0.27,0.0,0.11,2.658,0.113,0.113,0.111,0.992,4
CNGA1,SO_380.3 [Optic atrophy],0.191,0,0.0,0.0,0.0,0.0,0.325,0.0,0.0,,0.138,0.343,0.16,0.992,2
FSCN2,SO_369.62 [Keratoconus],0.191,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.499,0.658,0.249,0.997,2
TNFSF11,MS_727.3 [Osteitis deformans [Paget's disease of bone]],0.191,1,4.0,0.0,0.0,0.23,0.263,0.0,0.219,2.285,0.774,0.244,0.075,,3
ARMC5,EM_211.1 [Adrenal hyperfunction],0.191,0,0.0,0.0,0.801,0.0,0.38,0.0,0.084,,2.438,0.775,0.206,,4
TNNT2,CV_414.1 [Hypertrophic cardiomyopathy],0.191,0,0.0,0.0,0.896,0.0,0.634,0.83,0.611,,2.629,0.549,3.108,0.938,5
PCDH15,SO_386.6 [Night blindness],0.191,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.58,3.224,0.233,0.161,0.996,2
ACTC1,CV_414.1 [Hypertrophic cardiomyopathy],0.189,0,0.0,0.0,0.887,0.0,0.372,0.862,0.167,1.976,3.125,0.084,2.531,0.988,5
COX14,CV_414.1 [Hypertrophic cardiomyopathy],0.189,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.209,0.334,0.073,0.997,1
PLS3,CM_770.5 [Congenital osteodystrophies],0.188,0,0.0,0.0,0.0,0.0,0.374,0.184,0.103,3.518,2.766,0.092,0.074,0.513,5
COL4A4,GU_580.52 [Diffuse membranous glomerulonephritis],0.188,0,0.0,0.0,0.0,0.0,0.669,0.354,0.138,,3.835,1.108,0.13,,4
PTGS2,MS_704.1 [Polyarteritis nodosa and related conditions],0.188,1,4.0,0.0,0.0,0.0,0.0,0.0,0.303,2.854,0.105,0.091,2.083,,2
CACNB2,GE_972.2 [Hereditary ataxia],0.187,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.372,2.905,0.415,1.673,0.982,2
CLRN1,SO_369.62 [Keratoconus],0.187,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,3.407,1.779,0.164,0.996,2
POLG,NS_341.1 [Cerebral palsy],0.187,0,0.0,0.0,0.684,0.0,0.0,0.0,0.0,1.742,2.752,0.282,0.28,0.997,3
NDUFAF7,GE_963.1 [Lipid storage disorders],0.186,0,0.0,0.0,0.426,0.0,0.0,0.0,0.0,,3.457,2.97,0.105,0.986,3
PABPN1,GE_972.9 [Muscular dystrophy],0.186,1,0.5,0.0,0.828,0.0,0.373,0.693,0.251,1.98,0.674,0.128,0.061,0.69,5
NR3C1,GU_580.1 [Acute nephritic syndrome],0.186,1,4.0,0.0,0.304,0.0,0.0,0.0,0.063,2.134,2.407,0.185,0.143,0.923,4
LRP5,MS_727.3 [Osteitis deformans [Paget's disease of bone]],0.186,0,0.0,0.0,0.0,0.418,0.397,0.0,0.111,2.507,2.511,0.126,0.127,,3
GJA8,CM_751.213 [Congenital cataract],0.185,0,0.0,0.0,0.891,0.0,0.894,0.547,0.157,,7.372,5.195,11.874,0.996,5
VLDLR,GE_972.2 [Hereditary ataxia],0.185,0,0.0,0.0,0.843,0.0,0.0,0.877,0.131,3.216,2.383,0.236,0.297,0.916,4
PPARG,GE_964.3 [Glycogen storage disease],0.185,0,0.0,0.0,0.0,0.0,0.354,0.0,0.115,1.995,2.023,0.096,0.1,,3
AGTR1,GU_580.52 [Diffuse membranous glomerulonephritis],0.185,1,3.0,0.0,0.0,0.0,0.374,0.0,0.374,3.137,0.315,0.22,1.784,,3
NDUFA11,NS_341.1 [Cerebral palsy],0.185,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.221,2.84,0.046,0.049,0.951,2
KIF1A,GE_972.2 [Hereditary ataxia],0.184,0,0.0,0.125,0.864,0.0,0.268,0.835,0.165,1.947,2.794,0.046,0.063,0.949,6
LMO2,BI_161.2 [Extrinsic (acquired) hemolytic anemias],0.184,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.584,2.652,0.322,1.564,0.969,2
CDH2,MB_305.1 [Tics and tic disorders],0.184,0,0.0,0.0,0.0,0.0,0.459,0.0,0.103,3.347,2.684,0.247,0.116,,3
GRID2,GE_972.2 [Hereditary ataxia],0.184,0,0.0,0.0,0.872,0.0,0.531,0.764,0.092,2.781,2.744,0.775,0.532,0.97,5
DCTN1,NS_323.3 [Motor neuron disease],0.184,0,0.0,0.0,0.889,0.0,0.384,0.504,0.037,,2.134,0.466,0.357,0.998,5
CNGA3,SO_386.6 [Night blindness],0.183,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.526,0.225,0.171,0.999,2
CD14,GU_580.1 [Acute nephritic syndrome],0.183,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.587,0.142,0.077,0.983,2
PDE6G,SO_369.62 [Keratoconus],0.183,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.183,0.184,0.078,0.981,1
CACNA1E,GE_972.2 [Hereditary ataxia],0.183,1,4.0,0.095,0.547,0.0,0.0,0.0,0.03,3.773,3.96,2.476,0.28,0.898,5
GRN,NS_328.13 [Frontotemporal dementia [FTD]],0.182,1,2.0,0.0,0.0,0.0,0.261,0.78,0.322,,4.354,4.027,3.933,,4
CLCN1,NS_339.2 [Myotonic disorders],0.182,0,0.0,0.0,0.0,0.335,0.393,0.524,0.107,1.6,6.498,6.299,1.724,,4
PITX1,GE_961.1 [Phakomatoses],0.182,0,0.0,0.0,0.0,0.0,0.369,0.0,0.201,3.112,2.466,0.267,0.119,0.335,4
ZNF469,SO_369.62 [Keratoconus],0.182,0,0.0,0.0,0.886,0.273,0.252,0.58,0.361,2.77,3.846,0.138,0.192,,4
RCVRN,SO_380.3 [Optic atrophy],0.181,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.395,2.449,0.279,0.103,0.956,2
COL10A1,GE_978.3 [Osteochondrodysplasias],0.181,0,0.0,0.0,0.0,0.0,0.383,0.896,0.073,,1.338,0.999,1.202,,4
PODXL,GU_580.52 [Diffuse membranous glomerulonephritis],0.181,0,0.0,0.0,0.0,0.0,0.378,0.0,0.114,2.052,2.967,2.738,0.091,,3
APP,NS_340.3 [Inflammatory and immune myopathies],0.18,0,0.0,0.0,0.0,0.0,0.416,0.0,0.115,3.304,0.085,0.183,0.089,,3
CDKN1A,BI_179.1 [Hypogammaglobulinemia NOS],0.18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.556,0.509,0.073,0.976,1
PEX13,CM_763.31 [Ventricular septal defect],0.18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.322,0.297,0.131,0.983,1
SACS,GE_972.2 [Hereditary ataxia],0.18,0,0.0,0.0,0.899,0.0,0.339,0.887,0.147,2.66,3.032,0.894,0.104,0.98,5
FSCN2,SO_386.6 [Night blindness],0.18,0,0.0,0.0,0.0,0.0,0.272,0.0,0.0,,2.126,0.517,0.16,0.999,3
NDUFA8,GE_972.2 [Hereditary ataxia],0.18,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.269,0.318,0.13,0.978,1
CHM,GE_974.3 [Hereditary choroidal dystrophies],0.18,1,2.0,0.0,0.0,0.0,0.474,0.868,0.781,1.982,1.491,0.049,3.591,,4
TRPM1,SO_386.6 [Night blindness],0.18,0,0.0,0.0,0.895,0.0,0.0,0.741,0.091,2.573,3.59,0.216,0.268,0.989,4
NDUFS5,GE_972.2 [Hereditary ataxia],0.179,1,4.0,0.051,0.0,0.0,0.0,0.0,0.0,3.359,2.754,0.098,0.076,0.982,3
NDUFB7,GE_972.2 [Hereditary ataxia],0.179,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.644,0.372,0.101,0.954,2
C3,GU_580.51 [Focal and segmental glomerular lesions*],0.179,0,0.0,0.0,0.0,0.0,0.425,0.01,0.677,2.551,2.674,0.245,0.171,,4
PTPRC,GI_540.11 [Autoimmune hepatitis],0.179,0,0.0,0.0,0.0,0.0,0.292,0.0,0.122,3.481,2.081,0.091,0.109,,3
RHO,SO_386.6 [Night blindness],0.178,0,0.0,0.0,0.547,0.0,0.385,0.613,0.105,,3.537,1.509,0.132,1.0,5
NDUFA9,GE_972.2 [Hereditary ataxia],0.178,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.382,3.626,2.87,1.298,0.992,2
COL2A1,CM_770.5 [Congenital osteodystrophies],0.178,0,0.0,0.0,0.898,0.0,0.442,0.815,0.089,,2.958,0.532,4.715,0.985,5
PPARGC1A,GE_973.5 [Huntington's disease],0.178,0,0.0,0.0,0.0,0.0,0.306,0.0,0.883,2.403,0.196,0.116,0.086,,3
F8,GE_971.14 [Von Willebrand's disease],0.178,1,4.0,0.0,0.0,0.0,0.536,0.0,0.126,,4.579,2.932,0.097,,3
MYO1E,GU_580.51 [Focal and segmental glomerular lesions*],0.178,0,0.0,0.0,0.0,0.0,0.678,0.783,0.163,1.768,3.802,1.127,0.208,,4
NDUFV1,CV_414.1 [Hypertrophic cardiomyopathy],0.178,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.509,0.29,0.126,0.998,2
VSX2,SO_386.5 [Color vision deficiencies],0.178,0,0.0,0.0,0.0,0.0,0.408,0.0,0.0,1.884,0.584,0.207,0.086,0.984,3
GCM2,EM_208.1 [Hypoparathyroidism],0.178,0,0.0,0.0,0.867,0.0,0.426,0.528,0.218,,3.345,1.167,0.223,0.888,5
CNTNAP2,MB_305.1 [Tics and tic disorders],0.177,0,0.0,0.0,0.0,0.0,0.444,0.0,0.332,3.485,2.538,0.294,0.207,,3
AHI1,SO_369.62 [Keratoconus],0.177,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.777,3.877,1.993,0.269,0.983,2
NDUFB4,GE_972.2 [Hereditary ataxia],0.177,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.233,0.18,0.271,1.954,0.953,2
SGCA,GE_972.9 [Muscular dystrophy],0.177,0,0.0,0.0,0.897,0.0,0.436,0.89,0.082,1.882,0.247,0.338,0.133,0.995,5
RP1L1,SO_386.5 [Color vision deficiencies],0.177,0,0.0,0.0,0.0,0.0,0.295,0.0,0.0,,3.518,0.136,0.127,0.989,3
RYR1,NS_339.2 [Myotonic disorders],0.177,0,0.0,0.0,0.0,0.0,0.292,0.129,0.275,,4.136,0.237,0.132,,4
PLEKHM1,CM_770.5 [Congenital osteodystrophies],0.177,0,0.0,0.0,0.684,0.0,0.285,0.537,0.083,,4.631,0.3,0.197,0.92,5
CAV3,GE_972.9 [Muscular dystrophy],0.177,0,0.0,0.0,0.874,0.0,0.403,0.555,0.102,2.151,0.426,0.093,0.067,0.993,5
P3H1,GE_978.3 [Osteochondrodysplasias],0.177,0,0.0,0.0,0.0,0.0,0.32,0.726,0.469,2.108,3.7,0.191,1.759,,4
TGM1,GE_977.1 [Congenital ichthyosis],0.176,0,0.0,0.0,0.896,0.0,0.321,0.785,0.124,1.905,3.453,3.355,0.143,0.999,5
NR3C1,CM_772.1 [Congenital malformations of endocrine glands],0.176,1,4.0,0.0,0.0,0.0,0.256,0.0,0.112,2.416,0.974,0.147,0.126,,3
REN,EM_211.1 [Adrenal hyperfunction],0.176,0,0.0,0.0,0.0,0.0,0.383,0.0,0.111,,2.28,0.238,0.153,,3
CNGA3,SO_386.5 [Color vision deficiencies],0.176,1,2.0,0.0,0.898,0.0,0.394,0.663,0.104,1.472,2.899,0.383,0.108,0.998,5
TP53,CV_414.1 [Hypertrophic cardiomyopathy],0.176,0,0.0,0.0,0.0,0.0,0.0,0.0,0.617,1.714,2.265,0.21,0.173,0.993,3
FLVCR1,BI_162.1 [Constitutional (hereditary) aplastic anemia],0.175,0,0.0,0.0,0.0,0.0,0.446,0.0,0.158,,2.368,0.113,1.908,,3
ARSA,GE_963.1 [Lipid storage disorders],0.175,1,4.0,0.0,0.899,0.0,0.293,0.917,0.087,,0.195,0.223,0.041,0.362,4
DES,CV_414.1 [Hypertrophic cardiomyopathy],0.175,0,0.0,0.0,0.873,0.0,0.828,0.228,0.217,,2.459,0.559,0.3,0.816,5
NDUFAF5,NS_341.1 [Cerebral palsy],0.175,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.315,0.264,0.148,0.985,1
FBN1,CV_438.41 [Aortic dissection],0.175,0,0.0,0.0,0.893,0.497,0.0,0.404,0.074,8.257,2.745,,11.458,0.971,4
GUCA1B,SO_369.62 [Keratoconus],0.175,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.934,0.219,0.093,0.995,2
NDUFB10,NS_341.1 [Cerebral palsy],0.174,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.721,1.759,0.107,0.973,2
FLG,GE_977.1 [Congenital ichthyosis],0.174,0,0.0,0.0,0.426,0.0,0.483,0.755,0.082,1.358,3.462,5.143,3.024,,4
SPATA7,SO_386.5 [Color vision deficiencies],0.173,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.716,2.645,0.201,0.101,0.994,2
PEX6,NS_341.1 [Cerebral palsy],0.173,0,0.0,0.0,0.426,0.0,0.0,0.0,0.0,3.411,3.455,1.134,0.194,0.992,3
SCN8A,NS_323.3 [Motor neuron disease],0.173,1,4.0,0.0,0.0,0.0,0.355,0.0,0.018,2.361,1.805,0.317,0.289,0.268,4
NDUFB10,GE_972.2 [Hereditary ataxia],0.172,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.362,0.954,0.17,0.972,2
EARS2,NS_341.1 [Cerebral palsy],0.172,0,0.0,0.0,0.701,0.0,0.0,0.0,0.0,1.35,3.144,0.905,0.166,0.995,3
CHM,SO_373.2 [Choroidal degenerations],0.172,1,2.0,0.0,0.0,0.0,0.516,0.868,0.396,1.611,0.665,0.102,2.803,,4
MYH7B,CV_414.1 [Hypertrophic cardiomyopathy],0.172,1,4.0,0.0,0.877,0.0,0.0,0.54,0.267,2.119,3.381,0.343,0.441,0.682,4
ANKRD53,CM_751.213 [Congenital cataract],0.171,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.274,1.7,0.115,0.989,2
GUCY2D,SO_373.2 [Choroidal degenerations],0.171,0,0.0,0.0,0.0,0.0,0.425,0.71,0.053,,2.739,0.394,0.148,,4
SLC27A4,GE_977.1 [Congenital ichthyosis],0.171,0,0.0,0.0,0.0,0.0,0.412,0.412,0.08,,2.34,2.52,0.133,0.998,5
CEP290,SO_386.6 [Night blindness],0.171,0,0.0,0.0,0.0,0.0,0.256,0.37,0.0,1.798,3.64,0.156,0.393,1.0,4
LMOD3,GE_972.9 [Muscular dystrophy],0.17,0,0.0,0.0,0.0,0.0,0.387,0.834,0.154,1.676,2.591,0.214,1.724,0.343,5
ANKRD53,NS_341.1 [Cerebral palsy],0.17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.222,0.229,1.782,0.989,2
PLS3,GE_978.3 [Osteochondrodysplasias],0.17,0,0.0,0.0,0.0,0.0,0.367,0.184,0.103,3.881,2.985,0.081,0.073,,4
SIRT6,NS_341.1 [Cerebral palsy],0.17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.717,0.184,0.159,0.991,2
IRF7,GU_580.1 [Acute nephritic syndrome],0.169,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.342,0.329,0.17,0.956,2
NFU1,CV_414.1 [Hypertrophic cardiomyopathy],0.169,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.662,1.128,0.372,0.238,0.973,2
SCN1A,NS_341.1 [Cerebral palsy],0.169,1,4.0,0.0,0.732,0.0,0.0,0.0,0.0,1.993,2.351,0.285,0.224,0.995,3
POLR3A,GE_963.1 [Lipid storage disorders],0.169,0,0.0,0.0,0.888,0.0,0.0,0.904,0.181,1.754,1.741,0.223,0.178,0.988,4
SCN2A,NS_341.1 [Cerebral palsy],0.169,1,4.0,0.0,0.745,0.0,0.0,0.0,0.0,1.341,3.469,0.408,0.183,0.993,3
GRID2,NS_323.3 [Motor neuron disease],0.169,0,0.0,0.0,0.0,0.0,0.38,0.121,0.012,2.775,2.475,0.907,0.367,0.142,5
ADRA2A,CV_433.3 [Cerebrovascular insufficiency],0.168,1,4.0,0.0,0.0,0.0,0.0,0.0,0.033,2.355,1.007,0.027,0.045,0.296,3
NMNAT1,SO_369.62 [Keratoconus],0.168,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.739,0.187,0.09,0.998,2
DRD2,GE_973.5 [Huntington's disease],0.167,1,3.0,0.0,0.0,0.0,0.357,0.0,0.4,1.708,2.105,0.12,0.047,,3
SELENON,GE_972.9 [Muscular dystrophy],0.167,0,0.0,0.0,0.883,0.0,0.376,0.837,0.064,1.948,2.439,0.321,0.134,,4
NDUFAF5,CV_414.1 [Hypertrophic cardiomyopathy],0.167,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.276,3.12,1.018,0.216,0.991,2
PEX13,NS_341.1 [Cerebral palsy],0.167,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.966,0.273,0.143,0.994,2
COL4A1,CM_751.213 [Congenital cataract],0.167,0,0.0,0.0,0.654,0.0,0.422,0.472,0.097,1.852,1.735,0.167,0.246,0.893,5
SNAI2,DE_663.1 [Pemphigus],0.167,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,2.526,0.074,,3.067,,2
PKD2,GE_976.5 [Polycystic kidney disease],0.167,0,0.0,0.0,0.0,0.0,0.421,0.722,0.197,2.164,3.008,0.303,86.143,,4
PEX13,SO_380.3 [Optic atrophy],0.167,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.287,0.362,1.091,0.985,2
SCN8A,NS_341.1 [Cerebral palsy],0.167,1,4.0,0.0,0.547,0.0,0.0,0.0,0.0,1.839,3.542,0.157,0.158,0.989,3
SPTA1,GE_970.61 [Hereditary spherocytosis],0.166,0,0.0,0.0,0.0,0.0,0.55,0.627,0.095,2.629,4.032,3.267,4.924,,4
IMPG2,SO_386.5 [Color vision deficiencies],0.166,0,0.0,0.0,0.547,0.0,0.319,0.0,0.0,,3.826,0.287,1.693,0.979,4
UNC13A,NS_323.3 [Motor neuron disease],0.166,0,0.0,0.0,0.623,0.702,0.0,0.449,0.112,4.338,3.147,0.09,0.193,0.919,4
TRIM63,CV_414.1 [Hypertrophic cardiomyopathy],0.166,0,0.0,0.0,0.868,0.0,0.469,0.51,0.509,,3.349,1.795,0.613,0.946,5
RAD51C,CV_441 [Arteriovenous malformation],0.166,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.196,2.71,0.221,1.022,0.963,2
PPIB,GE_978.3 [Osteochondrodysplasias],0.165,0,0.0,0.0,0.0,0.0,0.315,0.682,0.114,,0.092,0.149,0.111,,3
MIP,CM_751.213 [Congenital cataract],0.165,0,0.0,0.0,0.728,0.0,0.756,0.836,0.082,,5.434,4.595,5.349,0.981,5
TONSL,CM_770.5 [Congenital osteodystrophies],0.165,0,0.0,0.0,0.884,0.0,0.0,0.851,0.018,1.392,3.355,0.246,0.633,0.214,4
NPHP4,SO_369.62 [Keratoconus],0.165,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.358,3.316,0.862,0.349,0.992,2
MMP13,RE_484.1 [Spontaneous pneumothorax],0.165,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.306,0.216,0.229,0.978,2
SPTBN4,GE_972.1 [Hereditary neuropathy],0.165,0,0.0,0.0,0.0,0.0,0.452,0.0,0.13,,2.752,0.647,0.294,,3
SCN8A,GE_972.1 [Hereditary neuropathy],0.164,1,4.0,0.0,0.0,0.0,0.38,0.0,0.066,1.722,3.992,3.7,0.549,,3
MOCS3,NS_341.1 [Cerebral palsy],0.164,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.6,1.488,1.605,0.989,2
ARL13B,SO_369.62 [Keratoconus],0.164,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.253,2.427,0.258,0.162,0.986,2
ACO2,SO_380.3 [Optic atrophy],0.164,0,0.0,0.0,0.893,0.0,0.0,0.773,0.114,1.396,2.799,0.143,0.167,0.965,4
SCN1A,MB_302.1 [Speech and language developmental delay],0.164,1,4.0,0.0,0.0,0.0,0.438,0.366,0.014,1.937,3.091,0.333,0.237,0.953,5
NPHP4,SO_386.6 [Night blindness],0.163,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.454,2.98,1.988,0.505,0.99,2
GSK3B,CV_414.1 [Hypertrophic cardiomyopathy],0.163,0,0.0,0.0,0.0,0.0,0.481,0.0,0.148,3.05,2.296,,0.157,0.912,4
